deliveryDate,deliveryHour,deliveryInterval,settlementPoint,settlementPointType,settlementPointPrice,DSTFlag
2026-01-01,19,3,HB_NORTH,HU,19.88,False
2026-01-01,19,4,HB_NORTH,HU,18.46,False
2026-01-01,20,1,HB_NORTH,HU,18.27,False
2026-01-01,20,2,HB_NORTH,HU,18.17,False
2026-01-01,20,3,HB_NORTH,HU,17.37,False
2026-01-01,20,4,HB_NORTH,HU,16.45,False
2026-01-01,21,1,HB_NORTH,HU,16.65,False
2026-01-01,21,2,HB_NORTH,HU,15.76,False
2026-01-01,21,3,HB_NORTH,HU,13.83,False
2026-01-01,21,4,HB_NORTH,HU,15.04,False
2026-01-01,22,1,HB_NORTH,HU,15.92,False
2026-01-01,22,2,HB_NORTH,HU,15.14,False
2026-01-01,22,3,HB_NORTH,HU,15.11,False
2026-01-01,22,4,HB_NORTH,HU,15.39,False
2026-01-01,23,1,HB_NORTH,HU,18.72,False
2026-01-01,23,2,HB_NORTH,HU,18.48,False
2026-01-01,23,3,HB_NORTH,HU,18.37,False
2026-01-01,23,4,HB_NORTH,HU,18.23,False
2026-01-01,24,1,HB_NORTH,HU,18.07,False
2026-01-01,24,2,HB_NORTH,HU,17.48,False
2026-01-01,24,3,HB_NORTH,HU,18.93,False
2026-01-01,24,4,HB_NORTH,HU,19.25,False
2026-01-03,1,1,HB_SOUTH,HU,15.03,False
2026-01-03,1,2,HB_SOUTH,HU,14.26,False
2026-01-03,1,3,HB_SOUTH,HU,14.78,False
2026-01-03,1,4,HB_SOUTH,HU,14.33,False
2026-01-03,2,1,HB_SOUTH,HU,13.65,False
2026-01-03,2,2,HB_SOUTH,HU,13.31,False
2026-01-03,2,3,HB_SOUTH,HU,13.52,False
2026-01-03,2,4,HB_SOUTH,HU,13.52,False
2026-01-03,3,1,HB_SOUTH,HU,13.96,False
2026-01-03,3,2,HB_SOUTH,HU,13.92,False
2026-01-03,3,3,HB_SOUTH,HU,14.72,False
2026-01-03,3,4,HB_SOUTH,HU,14.49,False
2026-01-03,4,1,HB_SOUTH,HU,13.83,False
2026-01-03,4,2,HB_SOUTH,HU,14.31,False
2026-01-03,4,3,HB_SOUTH,HU,13.79,False
2026-01-03,4,4,HB_SOUTH,HU,13.81,False
2026-01-03,5,1,HB_SOUTH,HU,13.77,False
2026-01-03,5,2,HB_SOUTH,HU,13.92,False
2026-01-03,5,3,HB_SOUTH,HU,14.0,False
2026-01-03,5,4,HB_SOUTH,HU,14.18,False
2026-01-03,6,1,HB_SOUTH,HU,14.03,False
2026-01-03,6,2,HB_SOUTH,HU,14.07,False
2026-01-03,6,3,HB_SOUTH,HU,14.44,False
2026-01-03,6,4,HB_SOUTH,HU,14.7,False
2026-01-03,7,1,HB_SOUTH,HU,15.72,False
2026-01-03,7,2,HB_SOUTH,HU,15.84,False
2026-01-03,7,3,HB_SOUTH,HU,18.06,False
2026-01-03,7,4,HB_SOUTH,HU,18.62,False
2026-01-03,8,1,HB_SOUTH,HU,17.71,False
2026-01-03,8,2,HB_SOUTH,HU,18.92,False
2026-01-03,8,3,HB_SOUTH,HU,17.82,False
2026-01-03,8,4,HB_SOUTH,HU,17.14,False
2026-01-03,9,1,HB_SOUTH,HU,16.19,False
2026-01-03,9,2,HB_SOUTH,HU,13.97,False
2026-01-03,9,3,HB_SOUTH,HU,12.81,False
2026-01-03,9,4,HB_SOUTH,HU,10.62,False
2026-01-03,10,1,HB_SOUTH,HU,4.89,False
2026-01-03,10,2,HB_SOUTH,HU,1.12,False
2026-01-03,10,3,HB_SOUTH,HU,2.06,False
2026-01-03,10,4,HB_SOUTH,HU,2.78,False
2026-01-03,11,1,HB_SOUTH,HU,3.2,False
2026-01-03,11,2,HB_SOUTH,HU,3.88,False
2026-01-03,11,3,HB_SOUTH,HU,6.34,False
2026-01-03,11,4,HB_SOUTH,HU,7.51,False
2026-01-03,12,1,HB_SOUTH,HU,8.73,False
2026-01-03,12,2,HB_SOUTH,HU,8.64,False
2026-01-03,12,3,HB_SOUTH,HU,9.89,False
2026-01-03,12,4,HB_SOUTH,HU,11.04,False
2026-01-03,13,1,HB_SOUTH,HU,11.76,False
2026-01-03,13,2,HB_SOUTH,HU,12.33,False
2026-01-03,13,3,HB_SOUTH,HU,13.4,False
2026-01-03,13,4,HB_SOUTH,HU,14.0,False
2026-01-03,14,1,HB_SOUTH,HU,14.19,False
2026-01-03,14,2,HB_SOUTH,HU,14.16,False
2026-01-03,14,3,HB_SOUTH,HU,13.91,False
2026-01-03,14,4,HB_SOUTH,HU,13.59,False
2026-01-03,15,1,HB_SOUTH,HU,12.12,False
2026-01-03,15,2,HB_SOUTH,HU,11.15,False
2026-01-03,15,3,HB_SOUTH,HU,11.15,False
2026-01-03,15,4,HB_SOUTH,HU,10.31,False
2026-01-03,16,1,HB_SOUTH,HU,6.81,False
2026-01-03,16,2,HB_SOUTH,HU,0.23,False
2026-01-03,16,3,HB_SOUTH,HU,1.02,False
2026-01-03,16,4,HB_SOUTH,HU,0.0,False
2026-01-03,17,1,HB_SOUTH,HU,11.69,False
2026-01-03,17,2,HB_SOUTH,HU,20.05,False
2026-01-03,17,3,HB_SOUTH,HU,28.85,False
2026-01-03,17,4,HB_SOUTH,HU,41.45,False
2026-01-03,18,1,HB_SOUTH,HU,40.77,False
2026-01-03,18,2,HB_SOUTH,HU,33.67,False
2026-01-03,18,3,HB_SOUTH,HU,29.39,False
2026-01-03,18,4,HB_SOUTH,HU,26.4,False
2026-01-03,19,1,HB_SOUTH,HU,23.99,False
2026-01-03,19,2,HB_SOUTH,HU,24.84,False
2026-01-03,19,3,HB_SOUTH,HU,25.27,False
2026-01-03,19,4,HB_SOUTH,HU,24.07,False
2026-01-03,20,1,HB_SOUTH,HU,22.8,False
2026-01-03,20,2,HB_SOUTH,HU,27.85,False
2026-01-03,20,3,HB_SOUTH,HU,22.22,False
2026-01-03,20,4,HB_SOUTH,HU,21.65,False
2026-01-03,21,1,HB_SOUTH,HU,25.02,False
2026-01-03,21,2,HB_SOUTH,HU,23.75,False
2026-01-03,21,3,HB_SOUTH,HU,23.5,False
2026-01-03,21,4,HB_SOUTH,HU,21.69,False
2026-01-03,22,1,HB_SOUTH,HU,18.91,False
2026-01-03,22,2,HB_SOUTH,HU,17.97,False
2026-01-03,22,3,HB_SOUTH,HU,19.91,False
2026-01-03,22,4,HB_SOUTH,HU,21.12,False
2026-01-03,23,1,HB_SOUTH,HU,21.15,False
2026-01-03,23,2,HB_SOUTH,HU,20.12,False
2026-01-03,23,3,HB_SOUTH,HU,19.9,False
2026-01-03,23,4,HB_SOUTH,HU,20.89,False
2026-01-03,24,1,HB_SOUTH,HU,19.25,False
2026-01-03,24,2,HB_SOUTH,HU,19.0,False
2026-01-03,24,3,HB_SOUTH,HU,17.43,False
2026-01-03,24,4,HB_SOUTH,HU,18.32,False
2026-01-02,1,1,HB_SOUTH,HU,11.83,False
2026-01-02,1,2,HB_SOUTH,HU,11.98,False
2026-01-02,1,3,HB_SOUTH,HU,12.51,False
2026-01-02,1,4,HB_SOUTH,HU,12.09,False
2026-01-02,2,1,HB_SOUTH,HU,11.72,False
2026-01-02,2,2,HB_SOUTH,HU,10.49,False
2026-01-02,2,3,HB_SOUTH,HU,10.47,False
2026-01-02,2,4,HB_SOUTH,HU,10.4,False
2026-01-02,3,1,HB_SOUTH,HU,10.25,False
2026-01-02,3,2,HB_SOUTH,HU,10.57,False
2026-01-02,3,3,HB_SOUTH,HU,10.04,False
2026-01-02,3,4,HB_SOUTH,HU,9.52,False
2026-01-02,4,1,HB_SOUTH,HU,8.32,False
2026-01-02,4,2,HB_SOUTH,HU,7.78,False
2026-01-02,4,3,HB_SOUTH,HU,7.2,False
2026-01-02,4,4,HB_SOUTH,HU,7.15,False
2026-01-02,5,1,HB_SOUTH,HU,8.25,False
2026-01-02,5,2,HB_SOUTH,HU,8.83,False
2026-01-02,5,3,HB_SOUTH,HU,9.06,False
2026-01-02,5,4,HB_SOUTH,HU,9.31,False
2026-01-02,6,1,HB_SOUTH,HU,9.67,False
2026-01-02,6,2,HB_SOUTH,HU,11.15,False
2026-01-02,6,3,HB_SOUTH,HU,12.31,False
2026-01-02,6,4,HB_SOUTH,HU,13.13,False
2026-01-02,7,1,HB_SOUTH,HU,14.28,False
2026-01-02,7,2,HB_SOUTH,HU,14.77,False
2026-01-02,7,3,HB_SOUTH,HU,14.94,False
2026-01-02,7,4,HB_SOUTH,HU,14.72,False
2026-01-02,8,1,HB_SOUTH,HU,15.08,False
2026-01-02,8,2,HB_SOUTH,HU,15.11,False
2026-01-02,8,3,HB_SOUTH,HU,14.27,False
2026-01-02,8,4,HB_SOUTH,HU,12.96,False
2026-01-02,9,1,HB_SOUTH,HU,11.0,False
2026-01-02,9,2,HB_SOUTH,HU,1.55,False
2026-01-02,9,3,HB_SOUTH,HU,-1.09,False
2026-01-02,9,4,HB_SOUTH,HU,-2.11,False
2026-01-02,10,1,HB_SOUTH,HU,-3.01,False
2026-01-02,10,2,HB_SOUTH,HU,-2.71,False
2026-01-02,10,3,HB_SOUTH,HU,-2.37,False
2026-01-02,10,4,HB_SOUTH,HU,-2.0,False
2026-01-02,11,1,HB_SOUTH,HU,-2.0,False
2026-01-02,11,2,HB_SOUTH,HU,-2.0,False
2026-01-02,11,3,HB_SOUTH,HU,-2.0,False
